,user_id,award_id,paper_count,paper_authOrder_0,paper_conferenceChoice_0,paper_labels_0,paper_authOrder_1,paper_conferenceChoice_1,paper_labels_1,paper_authOrder_2,paper_conferenceChoice_2,paper_labels_2,patent_record_count,patent_record_classify_0,patent_record_classify_1,patent_record_classify_2,research_count,research_competeRange_0,research_awardLevel_0,research_labels_0,research_competeRange_1,research_awardLevel_1,research_labels_1,research_competeRange_2,research_awardLevel_2,research_labels_2,research_project_count,research_project_projectType_0,research_project_projectType_1,research_project_projectType_2,competition_count,competition_competeRange_0,competition_awardLevel_0,competition_labels_0,competition_competeRange_1,competition_awardLevel_1,competition_labels_1,competition_competeRange_2,competition_awardLevel_2,competition_labels_2,honor_title_count,honor_title_honorRank_0,honor_title_honorRank_1,honor_title_honorRank_2,other_achievements_count,other_achievements_honorRank_0,other_achievements_honorRank_1,other_achievements_honorRank_2
0,2993,3,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,1.0,8.0,,,0.0,,,,,,,,,,0.0,,,,0.0,,,
1,2995,3,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2997,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,3.0,,,,,
3,3001,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,
4,3005,2,2.0,2.0,7.0,5.0,2.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3009,2,1.0,4.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3014,2,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3017,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,
8,3020,2,1.0,4.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3023,2,,4.0,2.0,7.0,2.0,2.0,2.0,4.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3026,3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,
